ID,age,education,gender,hours-per-week
0,39,9,1,40
1,23,9,0,40
2,30,13,0,35
3,30,13,1,40
4,20,10,0,40
5,37,9,0,40
6,37,9,0,40
7,22,13,1,40
8,17,7,1,40
9,47,10,0,50
10,54,10,0,40
11,23,9,1,40
12,33,13,1,40
13,35,13,0,40
14,34,9,0,40
15,17,7,1,15
16,19,9,0,40
17,55,11,0,50
18,46,13,0,40
19,52,9,0,40
20,32,9,0,40
21,43,11,0,40
22,24,13,1,15
23,66,12,0,40
24,50,9,0,15
25,27,10,0,40
26,50,9,0,50
27,37,9,0,48
28,23,9,1,40
29,34,10,1,50
30,21,9,0,35
31,22,8,0,50
32,28,13,1,28
33,48,10,1,40
34,29,13,0,40
35,50,9,0,40
36,59,10,0,40
37,27,10,1,40
38,21,9,1,40
39,63,9,1,72
40,54,10,1,38
41,34,10,0,45
42,25,6,0,40
43,44,13,0,60
44,39,13,0,40
45,33,9,0,40
46,27,13,1,48
47,39,14,1,38
48,27,9,0,45
49,29,9,0,40
50,24,9,0,40
51,56,9,0,40
52,25,10,1,40
53,25,13,0,44
54,49,9,0,56
55,28,9,1,45
56,34,10,0,40
57,30,10,0,40
58,36,10,0,40
59,30,9,0,66
60,37,10,0,44
61,20,10,0,40
62,60,10,0,40
63,23,7,0,40
64,61,10,1,30
65,50,9,1,35
66,20,10,1,30
67,41,10,1,40
68,28,9,0,40
69,22,10,0,40
70,43,11,1,32
71,23,10,0,20
72,40,10,0,50
73,28,10,0,40
74,63,10,0,40
75,26,9,0,40
76,25,10,1,19
77,24,9,1,40
78,59,16,0,40
79,38,4,0,45
80,62,10,1,40
81,50,9,0,50
82,23,13,1,40
83,61,14,0,40
84,34,6,1,40
85,57,6,0,40
86,52,9,0,45
87,28,11,0,40
88,34,9,0,50
89,22,13,1,30
90,33,13,1,32
91,22,9,0,40
92,40,9,1,50
93,33,9,0,60
94,39,9,1,40
95,32,9,1,5
96,25,9,1,40
97,45,9,1,40
98,36,10,0,50
99,43,9,0,40
100,53,14,0,38
101,38,9,0,42
102,40,15,0,60
103,40,9,1,35
104,36,10,0,40
105,58,9,1,40
106,47,10,0,45
107,24,5,0,40
108,40,9,0,40
109,26,10,0,3
110,19,10,0,40
111,43,13,0,50
112,19,7,0,56
113,48,9,0,60
114,28,10,0,65
115,31,13,1,40
116,40,9,1,45
117,25,2,0,96
118,22,4,0,40
119,43,3,0,35
120,40,9,0,40
121,29,10,0,40
122,34,10,0,40
123,58,10,1,39
124,35,14,0,55
125,50,16,0,40
126,50,14,1,40
127,25,13,1,40
128,41,13,0,40
129,44,13,1,40
130,51,13,1,40
131,19,10,1,25
132,36,9,0,50
133,36,13,0,40
134,55,13,0,42
135,27,3,0,40
136,24,14,1,35
137,36,9,0,40
138,44,10,0,40
139,24,9,0,50
140,29,9,0,45
141,59,13,0,72
142,29,10,1,40
143,57,14,0,40
144,33,10,1,40
145,48,13,0,40
146,18,8,0,55
147,29,10,1,40
148,46,14,0,40
149,50,13,0,40
150,25,14,1,35
151,26,11,1,54
152,32,13,0,40
153,40,9,0,40
154,26,9,0,50
155,42,9,1,40
156,71,11,1,40
157,76,4,1,25
158,44,10,1,40
159,32,10,0,60
160,27,13,1,33
161,51,13,0,26
162,45,13,0,38
163,58,13,0,40
164,46,14,0,45
165,37,13,1,37
166,35,9,1,38
167,44,7,0,40
168,44,13,0,50
169,19,9,0,30
170,46,9,1,43
171,31,12,0,40
172,38,9,0,40
173,65,13,0,40
174,46,7,1,35
175,39,12,0,52
176,18,10,1,4
177,65,9,0,20
178,34,10,0,35
179,55,9,0,60
180,37,7,1,30
181,44,9,0,60
182,47,9,0,50
183,46,13,0,45
184,68,9,0,40
185,48,13,0,60
186,49,9,0,40
187,24,12,0,40
188,27,9,0,40
189,42,13,0,50
190,53,9,0,40
191,30,8,1,40
192,45,9,1,30
193,54,10,1,40
194,52,14,0,40
195,26,9,0,53
196,17,7,0,20
197,33,9,0,65
198,48,10,0,40
199,24,13,1,40
200,44,9,0,40
201,42,10,0,60
202,39,13,0,40
203,52,9,0,36
204,47,9,0,49
205,26,13,1,40
206,49,9,1,40
207,45,14,0,65
208,31,13,0,48
209,56,4,0,40
210,56,13,0,45
211,76,10,1,30
212,47,10,1,40
213,30,9,0,40
214,57,12,1,40
215,27,9,1,40
216,40,10,0,40
217,19,10,0,30
218,40,16,0,40
219,73,9,0,40
220,19,10,1,30
221,45,13,0,40
222,43,10,1,30
223,35,9,0,50
224,43,12,0,60
225,28,9,0,48
226,64,9,1,20
227,37,9,0,42
228,34,7,0,50
229,39,10,0,50
230,48,7,0,50
231,36,9,0,40
232,39,10,1,40
233,59,10,1,40
234,47,10,1,45
235,55,14,0,45
236,42,9,1,40
237,40,10,0,42
238,18,7,1,15
239,27,5,1,40
240,49,9,0,40
241,39,9,1,40
242,47,9,0,45
243,41,10,0,50
244,51,14,1,40
245,40,9,0,40
246,36,9,0,40
247,33,9,0,60
248,47,9,0,40
249,35,9,0,45
250,17,6,0,40
251,22,9,1,35
252,32,9,0,40
253,48,9,1,40
254,41,10,0,40
255,33,4,0,40
256,21,10,0,40
257,57,11,0,40
258,42,13,0,21
259,26,10,1,40
260,61,9,0,40
261,53,3,1,10
262,35,10,1,50
263,37,13,0,50
264,37,9,0,40
265,45,9,1,40
266,52,9,1,40
267,30,13,0,40
268,36,11,0,40
269,37,10,0,40
270,32,9,1,40
271,69,13,0,40
272,31,13,0,60
273,28,9,1,40
274,43,13,0,40
275,35,9,0,35
276,39,9,1,81
277,22,11,1,36
278,40,14,0,45
279,34,9,0,45
280,46,10,1,60
281,52,9,0,40
282,62,9,0,72
283,38,13,0,50
284,46,9,1,30
285,29,10,1,6
286,33,13,0,40
287,32,11,1,40
288,26,9,0,40
289,36,9,0,45
290,36,13,0,40
291,30,13,0,44
292,31,13,1,40
293,61,9,1,40
294,42,10,1,40
295,29,10,0,45
296,51,16,0,40
297,57,9,1,40
298,40,9,1,40
299,46,9,0,46
300,36,9,0,45
301,67,4,0,40
302,47,7,0,40
303,38,14,0,40
304,28,7,0,40
305,53,9,0,40
306,27,13,1,36
307,23,10,1,25
308,44,16,0,40
309,18,6,0,56
310,55,9,1,40
311,41,3,1,40
312,37,9,1,20
313,75,9,0,20
314,17,7,1,7
315,22,10,0,40
316,22,9,0,37
317,53,9,0,35
318,44,10,1,40
319,36,9,1,40
320,50,14,1,40
321,50,14,1,40
322,23,7,1,35
323,33,13,0,25
324,25,9,0,40
325,41,10,1,40
326,30,10,0,40
327,19,7,1,40
328,40,9,0,51
329,34,9,0,40
330,35,9,0,40
331,35,9,0,50
332,47,10,0,40
333,45,14,0,45
334,45,10,0,40
335,53,7,0,40
336,59,4,0,85
337,30,11,0,40
338,45,10,0,50
339,53,10,0,50
340,24,13,1,40
341,35,13,0,50
342,31,10,1,48
343,40,10,0,40
344,39,9,0,50
345,38,6,0,90
346,45,15,0,43
347,47,10,0,40
348,25,13,1,20
349,40,10,0,40
350,44,3,0,40
351,28,13,0,40
352,26,10,1,25
353,42,13,0,45
354,21,10,0,20
355,36,10,0,50
356,26,14,1,40
357,21,10,0,43
358,48,9,1,45
359,21,10,1,15
360,30,14,0,60
361,27,13,0,40
362,56,9,0,40
363,52,9,1,40
364,27,6,0,55
365,23,13,0,40
366,30,14,0,44
367,56,13,0,40
368,23,9,0,30
369,20,10,0,40
370,25,9,0,35
371,35,13,0,50
372,30,9,0,40
373,20,9,0,20
374,37,13,1,40
375,28,13,0,40
376,25,9,0,40
377,29,9,0,55
378,44,10,0,35
379,20,9,0,40
380,46,9,0,50
381,18,9,1,35
382,40,9,0,66
383,28,13,0,65
384,44,13,0,44
385,34,10,0,40
386,24,9,1,48
387,51,13,0,40
388,34,13,0,40
389,36,9,0,50
390,38,9,1,40
391,27,9,0,60
392,22,13,1,15
393,36,10,0,40
394,58,2,0,40
395,36,10,1,20
396,33,10,0,40
397,28,9,1,40
398,28,9,0,40
399,41,9,0,40
400,50,14,0,40
401,36,10,1,40
402,43,13,0,50
403,46,9,1,48
404,27,9,0,60
405,28,10,0,50
406,34,9,0,40
407,43,9,0,38
408,33,9,0,48
409,28,13,1,60
410,31,5,0,40
411,58,5,0,40
412,56,16,0,40
413,27,10,0,40
414,28,11,1,40
415,44,9,1,40
416,29,11,0,40
417,71,9,1,40
418,39,9,0,50
419,62,9,1,38
420,25,13,0,30
421,48,15,0,63
422,42,9,0,48
423,28,10,1,40
424,31,12,1,25
425,40,10,1,40
426,18,9,0,40
427,26,13,0,45
428,60,6,1,40
429,40,10,1,40
430,27,13,0,60
431,51,9,0,50
432,26,13,1,50
433,52,9,0,40
434,25,10,1,40
435,30,9,0,70
436,41,12,0,40
437,21,11,0,30
438,28,9,0,20
439,22,10,1,40
440,33,10,0,45
441,21,9,0,40
442,62,8,0,48
443,39,10,1,55
444,18,10,1,50
445,33,13,0,40
446,52,9,0,40
447,59,9,1,38
448,52,7,0,40
449,44,14,1,40
450,33,13,0,60
451,53,10,0,35
452,37,13,0,36
453,53,13,1,21
454,43,14,1,40
455,50,7,0,40
456,54,9,0,25
457,41,10,1,40
458,59,6,1,37
459,27,6,0,40
460,29,9,0,50
461,48,9,0,40
462,39,13,0,45
463,50,9,0,50
464,43,9,1,50
465,32,10,0,40
466,26,13,1,42
467,35,10,1,40
468,51,10,1,40
469,27,9,0,40
470,29,9,0,70
471,23,12,0,40
472,47,10,0,40
473,34,11,1,40
474,64,7,0,40
475,21,9,0,40
476,27,9,0,40
477,23,9,0,40
478,43,9,0,40
479,68,4,1,10
480,33,13,0,40
481,47,9,1,40
482,21,10,1,50
483,58,10,0,40
484,30,9,0,40
485,37,9,0,40
486,63,14,0,40
487,20,9,1,40
488,54,13,0,40
489,19,9,0,40
490,52,9,0,40
491,49,10,0,50
492,36,9,1,40
493,39,9,0,40
494,25,9,1,4
495,79,9,0,40
496,39,10,0,60
497,43,13,1,40
498,47,13,0,60
499,32,13,0,50
500,47,10,0,57
501,24,10,1,25
502,41,10,0,35
503,61,15,0,40
504,38,10,1,35
505,34,7,0,40
506,21,10,0,10
507,40,11,0,50
508,18,9,1,25
509,19,10,1,30
510,23,10,0,40
511,47,14,0,45
512,24,9,1,40
513,50,10,0,40
514,27,13,0,50
515,31,11,0,60
516,17,7,1,30
517,37,10,1,40
518,58,5,0,50
519,24,9,1,20
520,29,9,0,40
521,39,10,1,45
522,43,10,1,50
523,36,14,0,50
524,35,9,0,40
525,46,13,0,45
526,51,10,1,35
527,29,13,0,75
528,27,9,0,40
529,53,3,0,40
530,34,13,0,14
531,25,9,0,40
532,54,9,0,40
533,32,10,0,70
534,48,10,1,43
535,58,6,0,50
536,47,13,0,40
537,32,13,0,50
538,43,6,0,40
539,42,9,1,40
540,58,16,0,24
541,24,9,1,30
542,31,13,0,40
543,49,13,0,40
544,39,9,1,40
545,39,10,1,60
546,23,9,0,40
547,37,12,0,50
548,40,10,0,35
549,40,9,0,40
550,45,16,0,60
551,38,13,0,50
552,53,9,0,48
553,37,7,0,40
554,55,13,0,35
555,40,12,0,40
556,17,7,0,25
557,32,10,0,40
